img_path,text
word_images/test/AGCRegular_AGCRegular_9_47_c904e13a.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_48_01e4be7c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_49_c2784e51.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_50_91474c35.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_51_78b8f79c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_52_7202e9c8.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_53_9b56f50e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_54_806af03a.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_55_01f0a6e3.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_56_83d6d3fb.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_57_475076ee.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_58_7fd0f3f1.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_59_c3b74977.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_60_e8a97725.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_61_a7afb29e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_62_5223c41e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_63_bc3e85d6.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_64_45745ad7.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_65_1ad22c52.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_66_e241d463.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_67_9e98ccb7.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_68_5a031e76.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_69_252ca004.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_70_b90c1cb6.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_71_95b2c211.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_72_cd8f914d.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_73_ca605658.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_74_6e99f7c4.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_75_9cd1f0b4.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_76_e3bb06ea.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_77_ebe53d59.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_78_266dbb19.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_79_ab033263.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_80_4a37597c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_81_807dac55.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_82_998c627c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_83_4a3bce17.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_84_f04c3e74.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_85_249a5731.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_86_0884575f.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_87_1d32c88b.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_88_c7c62a7f.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_89_74a2a04c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_90_56b6f92c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_91_a1099c0e.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_92_ee9f96b3.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_93_447a1dfb.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_94_3c4e4858.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_95_261fe06c.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_96_19030d4f.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_97_1abfa210.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_98_d183a042.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_99_b41e7324.jpg,AGCRegular
word_images/test/AGCRegular_AGCRegular_9_100_9137daeb.jpg,AGCRegular
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_1_f0988565.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_2_03d50ae9.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_3_6822bf00.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_4_8d2776d4.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_5_586bc4b7.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_6_79b553f6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_7_f55aa3dc.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_8_7117eb3b.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_9_602af85c.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_10_71a578ee.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_11_88697181.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_12_e167adf1.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_13_2eccbba6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_14_61101a1b.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_15_b9202e45.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_16_e9c260fc.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_17_2f75de2c.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_18_de8d294e.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_19_ab078a02.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_20_e5ad11b8.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_21_0cac2586.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_22_12325fa0.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_23_e6a6b5ab.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_24_578e75cf.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_25_f2032064.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_26_f7e944c2.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_27_b7595e4d.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_28_15df28d6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_29_5fd41d5d.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_30_5edab00a.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_31_92098350.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_32_d77c03f6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_33_beac3792.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_34_f0edb881.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_35_853d789c.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_36_b6dd028a.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_37_a47a20ca.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_38_919d4e1a.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_39_98c33eb1.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_40_e1019af5.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_41_6b961f56.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_42_87f94d1e.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_43_9edc56a0.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_44_0188812f.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_45_6fd4d70f.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_46_518f588b.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_47_a190e779.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_48_616c9803.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_49_9315e584.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_50_22b8a99b.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_51_8bcc422b.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_52_14d13ad7.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_53_357c8363.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_54_4423e4d6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_55_fb39bec1.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_56_a40219f8.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_57_e2e392ea.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_58_378ec00f.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_59_271515ae.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_60_41f754e6.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_61_66d91b8f.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_62_67edfbb2.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_63_11618a98.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_64_0d8ff60a.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_65_f879f6cb.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_66_76b49da2.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_67_cda1fa4e.jpg,Al-Jazeera-Arabic-Bold
word_images/test/Al-Jazeera-Arabic-Bold_Al-Jazeera-Arabic-Bold_8_68_13d9d574.jpg,Al-Jazeera-Arabic-Bold
